Nom_medicament
"A 313 200 000 UI POUR CENT, pommade"
"AMINOPHYLLINE RENAUDIN 250 mg/10 ml, solution pour perfusion"
"AMINOPLASMAL 12, solution pour perfusion"
"AMINOPLASMAL 25, solution pour perfusion"
"AMINOPLASMAL 8, solution pour perfusion"
"AMINOSTAB, solution injectable pour perfusion en flacon"
"AMINOVEN 10 POUR CENT, solution pour perfusion"
"AMINOVEN 5 POUR CENT, solution pour perfusion"
"AMIODARONE 200 mg, comprimé sécable"
"AMIODARONE SUN 200 mg, comprimé sécable"
"AMIRIOX 0,3 mg/mL, collyre en solution"
"AMISULPRIDE 100 mg, comprimé sécable"
"AMISULPRIDE 200 mg, comprimé sécable"
"AMISULPRIDE 400 mg, comprimé pelliculé sécable"
"AMISULPRIDE PHARMA 100 mg, comprimé"
"AMISULPRIDE PHARMA 200 mg, comprimé sécable"
"AMISULPRIDE PHARMA 400 mg, comprimé sécable"
"AMISULPRIDE STRAGEN 100 mg/mL, solution buvable"
"AMITRIPTYLINE 40 mg/mL, solution buvable en gouttes"
"AMITRIPTYLINE SUBSTIPHARM 40 mg/mL, solution buvable en gouttes"
"AMLODIPINE 10 mg, gélule"
"AMLODIPINE 5 mg, gélule"
"AMLODIPINE GENERIQUES 10 mg, gélule"
"AMLODIPINE GENERIQUES 5 mg, gélule"
"AMLODIPINE KRKA D.D 10 mg, comprimé"
"AMLODIPINE KRKA D.D 5 mg, comprimé sécable"
"AMLODIPINE PHARMA 10 mg, gélule"
"AMLODIPINE PHARMA 5 mg, gélule"
"AMLODIPINE SUN 10 mg, gélule"
"AMLODIPINE SUN 5 mg, gélule"
"AMLODIPINE/VALSARTAN 10 mg/160 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN 5 mg/160 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN 5 mg/80 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN KRKA 10 mg/160 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN KRKA 5 mg/160 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN KRKA 5 mg/80 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN PHARMA 10 mg/160 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN PHARMA 5 mg/160 mg, comprimé pelliculé"
"AMLODIPINE/VALSARTAN PHARMA 5 mg/80 mg, comprimé pelliculé"
"AMLOR 10 mg, gélule"
"AMLOR 5 mg, gélule"
"AMMONAPS 500 mg, comprimé"
"AMMONAPS 940 mg/g, granulés"
"AMODEX 1 g, comprimé dispersible"
"AMODEX 500 mg, gélule"
"AMOROLFINE 5 %, vernis à ongles médicamenteux"
"AMOROLFINE 5%, vernis à ongles médicamenteux"
"AMOROLFINE CONSEIL 5 %, vernis à ongles médicamenteux"
"AMOROLFINE SUBSTIPHARM 5 %, vernis à ongles médicamenteux"
"AMOROLFINE URGO 5 %, vernis à ongles médicamenteux"
"AMOXICILLINE 1 g, comprimé dispersible"
"AMOXICILLINE 1 g, comprimé dispersible sécable"
"AMOXICILLINE 1 g, comprimé pelliculé dispersible"
"AMOXICILLINE 1 g, poudre pour solution injectable"
"AMOXICILLINE 1 g/5 ml, poudre et solution pour solution injectable (IM)"
"AMOXICILLINE 125 mg/5 mL, poudre pour suspension buvable"
"AMOXICILLINE 125 mg/5 ml, poudre pour suspension buvable"
"AMOXICILLINE 2 g, poudre pour solution injectable"
"AMOXICILLINE 250 mg / 5 ml, poudre pour suspension buvable"
"AMOXICILLINE 250 mg/5 mL, poudre pour suspension buvable"
"AMOXICILLINE 250 mg/5 ml, poudre pour suspension buvable"
"AMOXICILLINE 500 mg, gélule"
"AMOXICILLINE 500 mg/5 mL, poudre pour suspension buvable"
"AMOXICILLINE 500 mg/5 ml, poudre pour suspension buvable"
"AMOXICILLINE ACIDE CLAVULANIQUE 100 mg/12,5 mg par mL ENFANTS, poudre pour suspension buvable (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE ACIDE CLAVULANIQUE 100 mg/12,5 mg par mL ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE ACIDE CLAVULANIQUE 100 mg/12,5 mg par mL NOURRISSONS, poudre pour suspension buvable (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE ACIDE CLAVULANIQUE 100 mg/12,5 mg par mL NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE BENTA 500 mg, gélule"
"AMOXICILLINE FRANCE 500 mg, gélule"
"AMOXICILLINE KRKA 1 g, comprimé dispersible sécable"
"AMOXICILLINE PHARMA 1 g, comprimé dispersible"
"AMOXICILLINE PHARMA 500 mg, gélule"
"AMOXICILLINE SUN 1 g, comprimé dispersible"
"AMOXICILLINE SUN 500 mg, gélule"
"AMOXICILLINE/ACIDE CLAVULANIQUE - EUROGENERICS 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/ 125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/125 mg, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/125 mg, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/125 mg, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique: 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/200 mg ADULTES, poudre pour solution injectable"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/200 mg ADULTES, poudre pour solution injectable / pour perfusion (IV)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 1 g/200 mg, poudre pour solution injectable/pour perfusion (I.V.)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,5 mg par mL ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,5 mg par mL NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 2 g/200 mg ADULTES, poudre pour solution injectable"
"AMOXICILLINE/ACIDE CLAVULANIQUE 2 g/200 mg ADULTES, poudre pour solution pour perfusion"
"AMOXICILLINE/ACIDE CLAVULANIQUE 2 g/200 mg, poudre pour solution pour perfusion"
"AMOXICILLINE/ACIDE CLAVULANIQUE 500 mg/50 mg nourrissons et enfants, poudre pour solution injectable (I.V.)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 500 mg/50 mg, poudre pour solution injectable/pour perfusion (I.V.)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 500 mg/62,5 mg ADULTES, comprimé pelliculé (Rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 500 mg/62,5 mg, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE 500 mg/62,50 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE FRANCE 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE FRANCE 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE FRANCE 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique: 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE SUN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE SUN 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)"
"AMOXICILLINE/ACIDE CLAVULANIQUE SUN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)"
"AMPHOSCA ORCHITYN, comprimé à croquer"
"AMPHOSCA OVARYN, comprimé à croquer"
"AMPICILLINE 1 g, poudre et solution pour préparation injectable"
"AMPICILLINE 500 mg, poudre et solution pour préparation injectable"
"AMSALYO 75 mg, poudre pour solution pour perfusion"
"AMSPARITY 40 mg, solution injectable en seringue préremplie"
"AMSPARITY 40 mg, solution injectable en stylo prérempli"
"AMUKINE 0,06 %, solution pour application cutanée"
"AMVUTTRA 25 mg, solution injectable en seringue préremplie"
"AMYCOR 1 POUR CENT, poudre pour application locale en flacon poudreur"
"AMYCOR ONYCHOSET, pommade"
"ANAFRANIL 10 mg, comprimé enrobé"
"ANAFRANIL 25 mg, comprimé enrobé"
"ANAFRANIL 25 mg/2 ml, solution injectable"
"ANAFRANIL 75 mg, comprimé pelliculé sécable"
"ANAGRELIDE 0,5 mg, gélule"
"ANANDRON 150 mg, comprimé"
"ANANDRON 50 mg, comprimé"
"ANAPEN 150 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"ANAPEN 300 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"ANAPEN 500 microgrammes/0,3 ml, solution injectable en seringue préremplie"
"ANASTROZOLE 1 mg, comprimé pelliculé"
"ANASTROZOLE BLUEFISH 1 mg, comprimé pelliculé"
"ANASTROZOLE KRKA 1 mg, comprimé pelliculé"
"ANASTROZOLE SUBSTIPHARM 1 mg, comprimé pelliculé"
"ANASTROZOLE SUN 1 mg, comprimé pelliculé"
"ANAUSIN METOCLOPRAMIDE 15 mg, comprimé à libération prolongée"
"ANCOTIL 1 POUR CENT, solution pour perfusion"
"ANCOTIL 500 mg, comprimé"
"ANDRACTIM, gel pour application locale"
"ANDROCUR 50 mg, comprimé sécable"
"ANDROGEL 16,2 mg/g, gel transdermique"
"ANDROGEL 50 mg, gel transdermique en sachet-dose"
"ANDROTARDYL 250 mg/1 ml, solution injectable intramusculaire"
"ANETENA 3 mg/mL, collyre en solution"
"ANETENA 3 mg/mL, collyre en solution en récipient unidose"
"ANGELIQ 1mg/2 mg, comprimé pelliculé"
"ANGIPAX, comprimé orodispersible"
"ANGUSTA 25 microgrammes, comprimé"
"ANORO ELLIPTA 55 microgrammes/22 microgrammes, poudre pour inhalation en récipient unidose"
"ANSATIPINE 150 mg, gélule"
"ANTADYS 100 mg, comprimé pelliculé"
"ANTALCALM 140 mg, emplâtre médicamenteux"
"ANTALNOX 550 mg, comprimé pelliculé sécable"
"ANTALYRE, collyre en solution en récipient unidose"
"ANTARENE 100 mg, comprimé pelliculé"
"ANTARENE 20 mg/ml NOURRISSONS ET ENFANTS, suspension buvable"
"ANTARENE 200 mg, comprimé pelliculé"
"ANTARENE 400 mg, comprimé pelliculé"
"ANTARENE 5 %, gel"
"ANTARENE CODEINE 200 mg/30 mg, comprimé pelliculé"
"ANTARENE CODEINE 400 mg/60 mg, comprimé pelliculé"
"ANTASOL 135, gaz pour inhalation, en bouteille"
"ANTASOL 180, gaz pour inhalation, en bouteille"
"ANTIBIO SYNALAR, solution pour instillation auriculaire"
"ANTIGONE 75 microgrammes, comprimé pelliculé"
"ANTISTAX 360 mg, comprimé enrobé"
"ANXEMIL 200 mg, comprimé enrobé"
"ANY 8 POUR CENT, pommade"
"AOTAL 333 mg, comprimé enrobé gastro-résistant"
"APAISYLGEL 0,75 %, gel pour application cutanée"
"APEXELSIN 5 mg/mL, poudre pour dispersion pour perfusion"
"APIDRA 100 Unités/ml, solution injectable en cartouche"
"APIDRA 100 Unités/ml, solution injectable en flacon"
"APIDRA SOLOSTAR 100 unités/ml, solution injectable en stylo prérempli"
"APOKINON 30 mg/3 ml (1 %), solution injectable en stylo pré-rempli"
"APOKINON 5 mg/ml, solution pour perfusion"
"APOMORPHINE 5 mg/ml, solution injectable"
"APRANAX 275 mg, comprimé pelliculé"
"APRANAX 550 mg, comprimé pelliculé sécable"
"APRANAX 750 mg, comprimé"
"APREPITANT 125 mg et APREPITANT 80 mg, gélule"
"APREPITANT 125 mg, gélule"
"APREPITANT 125 mg, gélule et APREPITANT 80 mg, gélule"
"APREPITANT 80 mg, gélule"
"APREPITANT REDDY PHARMA 125 mg, gélule"
"APREPITANT REDDY PHARMA 125 mg, gélule et APREPITANT REDDY PHARMA 80 mg, gélule"
"APREPITANT REDDY PHARMA 80 mg, gélule"
"APREXEVO 150 mg/10 mg, comprimé pelliculé"
"APREXEVO 150 mg/5 mg, comprimé pelliculé"
"APREXEVO 300 mg/10 mg, comprimé pelliculé"
"APREXEVO 300 mg/5 mg, comprimé pelliculé"
"APROKAM 50 mg, poudre pour solution injectable"
"APROVEL 150 mg, comprimé pelliculé"
"APROVEL 300 mg, comprimé pelliculé"
"APROVEL 75 mg, comprimé pelliculé"
"APTIVUS 250 mg, capsule molle"
"AQUAREST 0,2 %, gel opthalmique en récipient unidose"
"AQUIPTA 10 mg, comprimé"
"AQUIPTA 60 mg, comprimé"
"ARACYTINE 1 g, poudre pour solution pour perfusion (I.V.)"
"ARACYTINE 100 mg, poudre et solvant pour solution injectable"
"ARACYTINE 2 g, poudre pour solution pour perfusion (I.V.)"
"ARACYTINE 500 mg, poudre pour solution pour perfusion"
"ARANESP 10 microgrammes, solution injectable en seringue préremplie"
"ARANESP 100 microgrammes, solution injectable en seringue préremplie"
"ARANESP 100 microgrammes, solution injectable en stylo prérempli"
"ARANESP 130 microgrammes, solution injectable en seringue préremplie"
"ARANESP 150 microgrammes, solution injectable en seringue préremplie"
"ARANESP 150 microgrammes, solution injectable en stylo prérempli"
"ARANESP 20 microgrammes, solution injectable en seringue préremplie"
"ARANESP 30 microgrammes, solution injectable en seringue préremplie"
"ARANESP 300 microgrammes, solution injectable en seringue préremplie"
"ARANESP 300 microgrammes, solution injectable en stylo prérempli"
"ARANESP 40 microgrammes, solution injectable en seringue préremplie"
"ARANESP 40 microgrammes, solution injectable en stylo prérempli"
"ARANESP 50 microgrammes, solution injectable en seringue préremplie"
"ARANESP 500 microgrammes, solution injectable en seringue préremplie"
"ARANESP 500 microgrammes, solution injectable en stylo prérempli"
"ARANESP 60 microgrammes, solution injectable en seringue préremplie"
"ARANESP 60 microgrammes, solution injectable en stylo prérempli"
"ARANESP 80 microgrammes, solution injectable en seringue préremplie"
"ARANESP 80 microgrammes, solution injectable en stylo prérempli"
"ARAVA 10 mg, comprimé pelliculé"
"ARAVA 100 mg, comprimé pelliculé"
"ARAVA 20 mg, comprimé pelliculé"
"ARCALION 200 mg, comprimé enrobé"
"ARCOXIA 30 mg, comprimé pelliculé"
"ARCOXIA 60 mg, comprimé pelliculé"
"AREXVY, poudre et suspension pour suspension injectable. Vaccin du Virus Respiratoire Syncytial (VRS) (recombinant, avec adjuvant)"
"ARGANOVA 1 mg/mL, solution pour perfusion"
"ARGANOVA 100 mg/mL, solution à diluer pour perfusion en multidose"
"ARGATROBAN 1 mg/mL, solution pour perfusion"
"ARGENTUM COMPLEXE N°98, comprimé sublingual"
"ARGININE VEYRON, solution buvable en ampoule"
"ARGININE VEYRON, solution buvable en flacon"
"ARICEPT 10 mg, comprimé orodispersible"
"ARICEPT 10 mg, comprimé pelliculé"
"ARICEPT 5 mg, comprimé orodispersible"
"ARICEPT 5 mg, comprimé pelliculé"
"ARIKAYCE LIPOSOMAL 590 mg, dispersion pour inhalation par nébuliseur"
"ARIMIDEX 1 mg, comprimé pelliculé"
"ARIPIPRAZOLE 1 mg/mL, solution buvable"
"ARIPIPRAZOLE 10 mg, comprimé"
"ARIPIPRAZOLE 10 mg, comprimé orodispersible"
"ARIPIPRAZOLE 15 mg, comprimé"
"ARIPIPRAZOLE 15 mg, comprimé orodispersible"
"ARIPIPRAZOLE 5 mg, comprimé"
"ARIPIPRAZOLE KRKA 10 mg, comprimé"
"ARIPIPRAZOLE KRKA 15 mg, comprimé"
"ARIPIPRAZOLE KRKA 5 mg, comprimé"
"ARIPIPRAZOLE PHARMA 10 mg, comprimé"
"ARIPIPRAZOLE PHARMA 15 mg, comprimé"
"ARIPIPRAZOLE PHARMA 5 mg, comprimé"
"ARIXTRA 10 mg/0,8 ml, solution injectable en seringue pré-remplie"
"ARIXTRA 2,5 mg/0,5 ml, solution injectable en seringue pré-remplie"
"ARIXTRA 5 mg/0,4 ml, solution injectable en seringue pré-remplie"
"ARIXTRA 7,5 mg/0,6 ml, solution injectable en seringue pré-remplie"
"ARKOGELULES ARTICHAUT, gélule"
"ARKOGELULES AUBEPINE, gélule"
"ARKOGELULES BARDANE, gélule"
"ARKOGELULES BUSSEROLE, gélule"
"ARKOGELULES CHARBON VEGETAL, gélule"
"ARKOGELULES CHARDON MARIE, gélule"
"ARKOGELULES ESCHSCHOLTZIA, gélule"
"ARKOGELULES FUMETERRE, gélule"
"ARKOGELULES HARPAGOPHYTON, gélule"
"ARKOGELULES MATE, gélule"
"ARKOGELULES MELISSE, gélule"
"ARKOGELULES MILLEPERTUIS, gélule"
"ARKOGELULES ORTHOSIPHON, gélule"
"ARKOGELULES PASSIFLORE, gélule"
"ARKOGELULES REINE DES PRES, gélule"
"ARKOGELULES VALERIANE, gélule"
"ARLUNIS 2 mg/0,625 mg, comprimé sécable"
"ARLUNIS 4 mg/1,25 mg, comprimé"
"ARMISARTE 25 mg/ml, solution à diluer pour perfusion"
"ARNIGEL, gel"
"ARNITROSIUM, comprimé sublingual"
"AROMASINE 25 mg, comprimé enrobé"
"AROMASOL, solution pour inhalation par fumigation"
"ARPHOS, solution buvable"
"ARSENIC TRIOXIDE 1 mg /mL, solution à diluer pour perfusion"
"ARSENIC TRIOXIDE 1 mg/mL, solution à diluer pour perfusion"
"ARSENIC TRIOXYDE 1 mg/mL, solution à diluer pour perfusion"
"ART 50 mg, gélule"
"ARTANE 0,4 POUR CENT, solution buvable en gouttes"
"ARTANE 2 mg, comprimé"
"ARTANE 5 mg, comprimé"
"ARTELAC 1,6 mg/0,5 mL, collyre en récipient unidose"
"ARTEX 5 mg, comprimé enrobé sécable"
"ARTHROCINE 100 mg, comprimé"
"ARTHROCINE 200 mg, comprimé sécable"
"ARTICADENT 1/100 000, solution injectable à usage dentaire"
"ARTICADENT 1/200 000, solution injectable à usage dentaire"
"ARTINIBSA 40 mg/mL ADRENALINE 1/100 000, solution injectable à usage dentaire"
"ARTINIBSA 40 mg/mL ADRENALINE 1/200 000, solution injectable à usage dentaire"
"ARTIREM 0,0025 mmol/mL, solution injectable"
"ARTIREM 0,0025 mmol/mL, solution injectable en seringue préremplie"
"ARTISIAL, solution pour pulvérisation endo-buccale"
"ARTISS, solutions pour colle"
"ASCABIOL 10 %, émulsion pour application cutanée"
"ASCOFER 33 mg, gélule"
"ASCORBATE DE CALCIUM RICHARD 100 mg ENFANTS, poudre pour solution buvable en sachet-dose"
"ASCORBATE DE CALCIUM RICHARD ADULTES, granulés"
"ASMANEX TWISTHALER 200 microgrammes/dose, poudre pour inhalation"
"ASMANEX TWISTHALER 400 microgrammes/dose, poudre pour inhalation"
"ASMELOR NOVOLIZER 12 microgrammes/dose, poudre pour inhalation"
"ASPAVELI 1080 mg, solution pour perfusion"
"ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose"
"ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose"
"ASPEGIC ENFANTS 250 mg, poudre pour solution buvable en sachet-dose"
"ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose"
"ASPIRINE 100 mg, comprimé gastro-résistant"
"ASPIRINE 500 mg, comprimé effervescent"
"ASPIRINE 75 mg, comprimé gastro-résistant"
"ASPIRINE DU RHONE 500 mg, comprimé"
"ASPIRINE DU RHONE 500 mg, comprimé à croquer"
"ASPIRINE PROTECT 100 mg, comprimé gastro-résistant"
"ASPIRINE TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent"
"ASPIRINE VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent"
"ASPRO 320 mg, comprimé"
"ASPRO 500 EFFERVESCENT, comprimé effervescent"
"ASPRO CAFEINE 500 mg/50 mg, comprimé effervescent sécable"
"ASTERLUNA 100 microgrammes/20 microgrammes, comprimé pelliculé"
"ASTERLUNA CONTINU 100 microgrammes/20 microgrammes, comprimé pelliculé"
"ATACAND 16 mg, comprimé sécable"
"ATACAND 32 mg, comprimé sécable"
"ATACAND 4 mg, comprimé sécable"
"ATACAND 8 mg, comprimé sécable"
"ATANTO 125 mg, gélule et ATANTO 80 mg, gélule"
"ATANTO 80 mg, gélule"
"ATARAX 2 mg/mL, sirop"
"ATARAX 25 mg, comprimé pelliculé sécable"
"ATAZANAVIR 150 mg, gélule"
"ATAZANAVIR 200 mg, gélule"
"ATAZANAVIR 300 mg, gélule"
"ATAZANAVIR KRKA 300 mg, gélule"
"ATEBEMYXINE, collyre en solution"
"ATECTURA BREEZHALER 125 microgrammes/127,5 microgrammes, poudre pour inhalation en gélule"
"ATECTURA BREEZHALER 125 microgrammes/260 microgrammes, poudre pour inhalation en gélule"
"ATECTURA BREEZHALER 125 microgrammes/62,5 microgrammes, poudre pour inhalation en gélule"
"ATENATIV 50 UI/mL, poudre et solvant pour solution pour perfusion"
"ATENOLOL 100 mg, comprimé pelliculé sécable"
"ATENOLOL 100 mg, comprimé sécable"
"ATENOLOL 50 mg, comprimé pelliculé sécable"
"ATENOLOL 50 mg, comprimé sécable"
"ATENOLOL HEALTHCARE 100 mg, comprimé sécable"
"ATENOLOL HEALTHCARE 50 mg, comprimé sécable"
"ATENOLOL PHARMA 100 mg, comprimé pelliculé sécable"
"ATENOLOL SFDB 100 mg, comprimé sécable"
"ATENOLOL SUN 100 mg, comprimé sécable"
"ATENOLOL SUN 50 mg, comprimé sécable"
"ATENOLOL/NIFEDIPINE 50 mg/20 mg, gélule"
"ATEPADENE 30 mg, gélule"
"ATGAM 50 mg/mL, solution à diluer pour perfusion"
"ATORVASTATINE 10 mg, comprimé pelliculé"
"ATORVASTATINE 20 mg, comprimé pelliculé"
"ATORVASTATINE 20 mg, comprimé pelliculé sécable"
"ATORVASTATINE 40 mg, comprimé pelliculé"
"ATORVASTATINE 40 mg, comprimé pelliculé quadrisécable"
"ATORVASTATINE 40 mg, comprimé pelliculé sécable"
"ATORVASTATINE 80 mg, comprimé pelliculé"
"ATORVASTATINE 80 mg, comprimé pelliculé sécable"
"ATORVASTATINE FRANCE 10 mg, comprimé pelliculé"
"ATORVASTATINE FRANCE 20 mg, comprimé pelliculé"
"ATORVASTATINE FRANCE 40 mg, comprimé pelliculé"
"ATORVASTATINE FRANCE 80 mg, comprimé pelliculé"
"ATORVASTATINE GENERIQUES 10 mg, comprimé pelliculé"
"ATORVASTATINE GENERIQUES 20 mg, comprimé pelliculé"
"ATORVASTATINE GENERIQUES 40 mg, comprimé pelliculé"
"ATORVASTATINE GENERIQUES 80 mg, comprimé pelliculé"
